,id,form,total_points,points_per_game,event_points,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index
252,54,0.4,28,1.9,1,0,1,3,0,120,100.8,197.2,117.0,41.1
253,355,2.4,28,1.8,2,0,2,2,2,142,170.8,270.1,177.0,61.7
254,351,0.6,28,1.6,1,0,1,0,0,176,194.4,203.4,180.0,58.0
255,39,0.0,28,7.0,0,1,0,3,3,89,91.0,1.5,49.0,14.2
256,3,3.8,28,2.3,6,0,0,3,0,143,132.8,30.4,86.0,24.9
257,321,2.0,28,2.2,5,0,1,3,0,163,183.8,266.4,146.0,59.7
258,83,2.0,28,2.2,1,0,1,2,2,121,113.6,43.3,39.0,19.5
259,587,2.2,28,2.2,2,0,2,2,0,98,112.2,149.5,240.0,50.3
260,175,0.0,27,2.7,0,1,1,1,2,160,170.6,278.3,124.0,57.3
261,266,2.5,27,2.7,8,0,0,3,2,121,79.0,47.1,53.0,18.1
262,22,0.4,27,1.9,1,1,1,0,4,84,74.4,58.8,120.0,24.9
263,139,1.8,27,2.5,9,0,2,1,3,171,159.6,163.9,135.0,45.9
264,80,2.6,27,3.0,3,1,1,3,3,88,104.2,102.4,91.0,29.6
265,241,1.0,27,2.1,1,0,2,3,2,128,114.6,163.7,51.0,32.9
266,324,0.8,27,2.5,1,1,0,2,0,146,210.8,16.3,69.0,29.8
267,40,0.5,27,2.5,0,0,1,4,0,78,115.8,122.2,343.0,57.9
268,138,2.6,26,1.5,3,0,0,3,0,156,170.2,153.4,70.0,39.3
269,263,1.2,26,1.9,4,0,1,3,0,116,134.2,153.3,156.0,44.4
270,336,1.3,26,1.6,3,0,0,3,0,132,176.8,69.8,107.0,35.5
271,15,1.4,26,2.4,0,0,1,2,1,110,77.6,42.7,22.0,14.3
272,411,0.8,25,1.6,1,0,1,0,1,83,101.0,174.4,82.0,35.7
273,70,0.0,25,2.3,0,0,0,2,0,161,132.4,0.3,0.0,13.2
274,577,1.2,25,2.5,6,0,1,2,0,147,123.8,51.8,34.0,21.2
275,392,0.6,25,1.7,1,1,0,1,1,60,79.4,57.4,145.0,28.0
276,418,0.0,24,3.0,0,0,0,2,3,128,139.0,74.2,50.0,26.3
277,320,2.0,24,2.0,0,1,1,1,3,64,57.2,36.0,152.0,23.5
278,274,0.0,24,4.0,0,1,0,2,2,96,72.8,40.2,35.0,14.6
279,218,0.0,24,2.7,0,0,0,3,2,112,137.0,33.9,22.0,19.2
280,526,0.4,23,1.9,0,0,0,3,0,140,108.2,73.2,28.0,20.8
281,334,1.5,23,1.6,7,0,0,2,1,141,198.2,6.9,64.0,26.9
282,353,1.8,23,1.2,1,0,0,1,1,210,318.4,22.4,57.0,39.7
283,152,1.0,23,1.9,1,0,1,1,1,135,141.6,70.1,59.0,27.1
284,332,1.2,23,2.9,6,0,0,3,0,107,74.8,78.6,14.0,16.8
285,295,1.2,23,1.9,0,0,1,3,0,134,133.8,102.0,25.0,26.1
286,507,0.7,23,2.1,3,0,3,2,0,77,54.0,142.8,62.0,25.6
287,158,2.3,23,1.6,1,0,1,2,0,86,84.6,102.9,52.0,23.6
288,568,1.4,22,3.1,0,0,2,1,3,118,122.0,167.8,30.0,31.9
289,86,1.0,22,1.4,1,0,1,2,0,58,46.6,58.2,134.0,23.4
290,262,1.2,22,1.3,2,0,0,1,0,51,43.2,87.7,124.0,25.1
291,211,1.8,22,2.0,2,0,0,2,1,158,184.4,27.4,12.0,22.2
292,365,0.8,21,1.9,2,1,0,1,0,63,75.0,77.7,149.0,30.0
293,349,1.6,21,1.4,1,0,0,1,0,128,147.0,223.5,22.0,39.2
294,61,1.2,21,1.6,0,0,0,2,0,121,114.4,52.6,64.0,22.7
295,279,0.0,21,3.5,0,1,0,2,1,97,108.0,35.5,23.0,16.6
296,502,0.0,21,1.8,0,0,0,2,0,140,177.4,99.0,27.0,30.5
297,343,1.8,21,2.3,1,2,0,0,3,48,71.6,29.2,102.0,20.1
298,480,0.7,21,1.8,0,0,0,1,1,103,84.0,94.8,76.0,25.3
299,403,0.0,20,1.8,0,1,1,2,0,71,107.6,126.7,96.0,32.7
300,5,3.8,20,5.0,5,0,1,2,3,71,53.6,65.7,10.0,12.9
301,409,1.6,20,1.4,2,0,0,1,0,88,121.8,70.9,53.0,24.2
302,33,0.0,20,5.0,0,1,1,2,3,70,65.4,82.9,33.0,18.2
303,356,1.0,19,1.6,0,0,0,1,0,112,127.6,169.4,59.0,35.8
